id;certification_title;certificate_description;certification_type;date_of_completion;certification_score;upload_certificate
1;ivory e-services;Developer;INTERNAL;2021-08-12T01:31:42;69459;Small bottom-line
2;Kwacha Customer-focused Gorgeous;scale;EXTERNAL;2021-08-12T14:23:20;25599;Steel incubate online
3;productivity;budgetary Bike Frozen;EXTERNAL;2021-08-11T23:37:44;18887;Mandatory
4;Agent Books Fish;grow;EXTERNAL;2021-08-12T00:56:52;83198;Chief 24/7 digital
5;Dinar transform;yellow Wyoming;INTERNAL;2021-08-12T11:49:42;91489;incubate Frozen users
6;Sleek Outdoors website;Frozen services Rhode;EXTERNAL;2021-08-11T21:11:37;13868;Legacy
7;known Wooden;synthesize wireless;EXTERNAL;2021-08-11T20:53:18;32236;Planner program Paradigm
8;mobile Ameliorated;Dinar proactive;INTERNAL;2021-08-12T10:48:30;5870;Indonesia
9;Chips redundant;invoice;INTERNAL;2021-08-12T13:00:35;68493;revolutionary
10;Concrete;Jewelery architect 4th;EXTERNAL;2021-08-12T06:09:09;33039;Expressway
