id;announcement_title;announcement_description;calendar;email_id
1;Automotive;Yemen Rubber visualize;2021-08-11T20:17:07;Creative Generic Wisconsin
2;Account;Fantastic Wooden;2021-08-12T03:30:16;Hat Centers JSON
3;Handcrafted efficient Pizza;Outdoors;2021-08-11T19:23:23;Berkshire Dynamic Shoes
4;Producer;Security Car Automotive;2021-08-11T23:09:54;Account
5;array;Loan;2021-08-11T18:24:19;withdrawal
6;navigating back-end;Coordinator Berkshire SMS;2021-08-12T05:16:37;fresh-thinking
7;matrices China;invoice Jersey;2021-08-12T12:57:15;Soft Albania PNG
8;Dynamic International XSS;Awesome Realigned;2021-08-12T14:58:01;fault-tolerant bandwidth Garden
9;Refined;monitor lime Way;2021-08-11T20:07:19;Home
10;Money Frozen;e-tailers Berkshire Outdoors;2021-08-11T16:09:31;Chief Bedfordshire array
