id;degree_title;start_year;end_year;years_of_experience
1;Account withdrawal Cotton;63875;54258;Delaware Lake SCSI
2;1080p productize silver;34343;81225;Progressive Cotton
3;Generic Shirt;63008;42288;Architect
4;Creative;34303;30176;HTTP Refined Toys
5;back Frozen;1059;26248;Generic magenta overriding
6;silver plum monitor;23969;33239;port
7;connecting clicks-and-mortar quantifying;77763;23707;Central Table
8;Savings;39984;54403;SQL system-worthy
9;Orchestrator;94748;68609;Tuna
10;frictionless withdrawal Cliff;85823;21019;relationships Ergonomic Mouse
